username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RadiowaTrojka;2016-05-05 08:29;0;0;"Elżbieta #Witek : w marcu mamy najniższe #bezrobocie od 25 lat http:// player.polskieradio.pl/-3";;;#Witek #bezrobocie;"728109430353485825";https://twitter.com/RadiowaTrojka/status/728109430353485825
KergerRafa;2016-05-04 17:17;0;0;"Kosmos. Rekordowo niskie #bezrobocie i rosnące zatrudnienie robią swoje. Choć @PracodawcyRP aż tak się nie cieszą :) https:// twitter.com/pulshr_pl/stat us/727876849951510528 …";;@PracodawcyRP;#bezrobocie;"727879851542237188";https://twitter.com/KergerRafa/status/727879851542237188
Macronextcom;2016-05-04 00:46;0;0;"Nowa Zelandia: w I kw. 2016 zmiana zatrudnienia +1,2% K/K (prognoza: 0,7%; poprzednio: 0,9%) http://www. macronext.com/pl/dane-makro/ d/2016-05-04/c/35 … #bezrobocie";;;#bezrobocie;"727630528011223042";https://twitter.com/Macronextcom/status/727630528011223042
Macronextcom;2016-05-04 00:45;0;0;"Nowa Zelandia: w I kw. 2016 stopa bezrobocia 5,7% (prognoza: 5,5%; poprzednio: 5,3%) http://www. macronext.com/pl/dane-makro/ d/2016-05-04/c/35 … #bezrobocie";;;#bezrobocie;"727630257407315969";https://twitter.com/Macronextcom/status/727630257407315969
OFinansowy;2016-05-02 15:52;3;2;"#Bezrobocie młodych spadło. Ale nasi młodzi dziennikarze zawsze mówią: "Pytajcie do jakiej pracy poszli ci młodzi" https:// twitter.com/EU_Eurostat/st atus/727133251303821312 …";;;#Bezrobocie;"727133666569236480";https://twitter.com/OFinansowy/status/727133666569236480
Macronextcom;2016-04-29 11:00;0;0;"Strefa Euro: w III 2016 stopa bezrobocia 10,2% (prognoza: 10,3%; poprzednio: 10,4%) http://www. macronext.com/pl/dane-makro/ d/2016-04-29/c/2 … #bezrobocie";;;#bezrobocie;"725973142347218944";https://twitter.com/Macronextcom/status/725973142347218944
ConAcc_Partners;2016-04-29 10:49;0;0;"@forsal_pl Dalszy spadek bezrobocia ? Jak wpłynie to na zachowanie firm ? #bezrobocie @PracodawcyRP";;@forsal_pl @PracodawcyRP;#bezrobocie;"725970124453335041";https://twitter.com/ConAcc_Partners/status/725970124453335041
Macronextcom;2016-04-29 10:00;0;0;"#Włochy : w III 2016 stopa bezrobocia 11,4% (prognoza: 11,7%; poprzednio: 11,6%) http://www. macronext.com/pl/dane-makro/ d/2016-04-29/c/39 … #bezrobocie";;;#W #bezrobocie;"725957908630921216";https://twitter.com/Macronextcom/status/725957908630921216
Gospodarka_PRSA;2016-04-29 09:45;0;0;"Wskaźnik informujący z wyprzedzeniem o przyszłych zmianach w wielkości bezrobocia wzrósł #bezrobocie #praca #BIEC http://www. polskieradio.pl/42/275/Artykul /1613721,BIEC-Wskaznik-Rynku-Pracy-wzrosl-ale-to-jeszcze-nie-sygnal-odwrocenia-pozytywnego-trendu …";;;#bezrobocie #praca #BIEC;"725954159128678401";https://twitter.com/Gospodarka_PRSA/status/725954159128678401
Macronextcom;2016-04-29 08:59;0;0;"#Polska : w IV 2016 Wskaźnik Rynku Pracy wg BIEC 77,7 pkt. (poprzednio: 77,5 pkt.) http://www. macronext.com/pl/dane-makro/ d/2016-04-29/c/1 … #bezrobocie";;;#Polska #bezrobocie;"725942585789829120";https://twitter.com/Macronextcom/status/725942585789829120
InteligentStart;2016-04-28 17:18;0;0;"Stopa bezrobocia wśród młodzieży 15 –24 lata w % na koniec sierpnia 2014 r. #bezrobocie #praca #mlodzinastart pic.twitter.com/bJPAGDptIK";;;#bezrobocie #praca #mlodzinastart;"725705729005473792";https://twitter.com/InteligentStart/status/725705729005473792
radio_szczecin;2016-04-28 15:15;0;0;"Bezrobocie maleje, a na targach pracy w Szczecinie tłumy. http:// goo.gl/yHVzW9 #praca #szczecin #bezrobocie #targi";;;#praca #szczecin #bezrobocie #targi;"725674719354089473";https://twitter.com/radio_szczecin/status/725674719354089473
rudocvetkov;2016-04-28 11:07;0;0;"to z #Wałbrzych aż tylu ludzi wyjechało ? #bezrobocie #eurostat https:// twitter.com/eu_eurostat/st atus/725610985302675456 …";;;#Wa #bezrobocie #eurostat;"725612342071975936";https://twitter.com/rudocvetkov/status/725612342071975936
Macronextcom;2016-04-28 10:00;1;0;"#Norwegia : w II 2016 stopa bezrobocia s.a. 4,6% (prognoza: 4,8%; poprzednio: 4,8%) http://www. macronext.com/pl/dane-makro/ d/2016-04-28/c/43 … #bezrobocie";;;#Norwegia #bezrobocie;"725595566076469248";https://twitter.com/Macronextcom/status/725595566076469248
Macronextcom;2016-04-28 09:56;1;0;"#Niemcy : w IV 2016 stopa bezrobocia s.a. 6,2% (prognoza: 6,2%; poprzednio: 6,2%) http://www. macronext.com/pl/dane-makro/ d/2016-04-28/c/10 … #bezrobocie";;;#Niemcy #bezrobocie;"725594536295174145";https://twitter.com/Macronextcom/status/725594536295174145
Macronextcom;2016-04-28 09:10;2;0;"#Bezrobocie spada nie tylko w Polsce. W marcu 2016 stopa bezrobocia na Węgrzech spadła do 6% (przed rokiem 7,8%) http://www. macronext.com/pl/dane-makro/ d/2016-04-28/c/27 …";;;#Bezrobocie;"725582974981386240";https://twitter.com/Macronextcom/status/725582974981386240
Macronextcom;2016-04-28 09:04;0;0;"#Hiszpania : w I kw. 2016 stopa bezrobocia 21% (prognoza: 20,75%; poprzednio: 20,9%) http://www. macronext.com/pl/dane-makro/ d/2016-04-28/c/28 … #bezrobocie";;;#Hiszpania #bezrobocie;"725581424884064256";https://twitter.com/Macronextcom/status/725581424884064256
zielonalinia;2016-04-27 14:43;0;0;"Najlepszy marzec od ćwierćwiecza. Pracownik będzie dyktował warunki? http:// bit.ly/1SJVi4m #Praca #Bezrobocie #Gospodarka";;;#Praca #Bezrobocie #Gospodarka;"725304286033272832";https://twitter.com/zielonalinia/status/725304286033272832
Newseria_Inwest;2016-04-26 12:10;0;0;"Polski rynek pracy najmocniejszy od 1991 roku http://www. inwestor.newseria.pl/newsy/polski_r ynek_pracy,p66984983 … #gospodarka #rynek_pracy #finanse #bezrobocie #zatrudnienie";;;#gospodarka #rynek_pracy #finanse #bezrobocie #zatrudnienie;"724903398240346115";https://twitter.com/Newseria_Inwest/status/724903398240346115
ParlamentarnyPL;2016-04-26 08:18;0;0;"#Bezrobocie spada. @E_Rafalska ma nadzieję na optymistyczne wskaźniki jeszcze w kwietniu. | http:// bit.ly/1SL74yL";;@E_Rafalska;#Bezrobocie;"724845077596659712";https://twitter.com/ParlamentarnyPL/status/724845077596659712
MichalskiLukasz;2016-04-25 15:25;1;0;"#Bezrobocie - najlepszy wynik od 25 lat! via @pulshr_pl http://www. pulshr.pl/rekrutacja/bez robocie-marzec-2016-najlepszy-wynik-od-25-lat,33813.html … …";;@pulshr_pl;#Bezrobocie;"724590153587646464";https://twitter.com/MichalskiLukasz/status/724590153587646464
zielonalinia;2016-04-25 13:10;0;0;"Mapa bezrobocia w Polsce. Oto najnowsze dane z rynku pracy http:// bit.ly/23UDX12 #Bezrobocie #Praca #RynekPracy #MapaBezrobocia";;;#Bezrobocie #Praca #RynekPracy #MapaBezrobocia;"724556131864076288";https://twitter.com/zielonalinia/status/724556131864076288
tvp_info;2016-04-25 11:46;4;9;"#Bezrobocie spadło do 10 proc. To najmniej od 25 lat #wieszwiecej http:// bit.ly/1T8C6uF";;;#Bezrobocie #wieszwiecej;"724535005305819136";https://twitter.com/tvp_info/status/724535005305819136
pulshr_pl;2016-04-25 11:25;1;0;"#Bezrobocie - najlepszy wynik od 25 lat! @MRPiPS_RP @KrzysztofInglot http://www. pulshr.pl/rekrutacja/bez robocie-marzec-2016-najlepszy-wynik-od-25-lat,33813.html …";;@MRPiPS_RP @KrzysztofInglot;#Bezrobocie;"724529788082368512";https://twitter.com/pulshr_pl/status/724529788082368512
wgospodarce;2016-04-25 11:10;1;1;"Bezrobocie w Polsce: najlepszy marcowy wynik od 25 lat! http:// wgospodarce.pl/informacje/250 39-w-marcu-bezrobocie-w-polsce-najnizsze-od-25-lat … #bezrobocie #gospodarka #GUS";;;#bezrobocie #gospodarka #GUS;"724525962705145856";https://twitter.com/wgospodarce/status/724525962705145856
iar_pr;2016-04-25 10:06;4;2;"W marcu bezrobocie wyniosło 10%, czyli było niższe o trzy dziesiąte punktu procentowego niż w lutym - podał GUS. #bezrobocie @MRPiPS_RP";;@MRPiPS_RP;#bezrobocie;"724509773689982976";https://twitter.com/iar_pr/status/724509773689982976
Macronextcom;2016-04-25 10:00;0;0;"#Polska : w III 2016 stopa bezrobocia 10% (prognoza: 10%; poprzednio: 10,3%) http://www. macronext.com/pl/dane-makro/ d/2016-04-25/c/1 … #bezrobocie";;;#Polska #bezrobocie;"724508270757556224";https://twitter.com/Macronextcom/status/724508270757556224
Macronextcom;2016-04-25 09:32;0;0;"#Szwecja : w III 2016 stopa bezrobocia 7,7% (prognoza: 7,5%; poprzednio: 7,6%) http://www. macronext.com/pl/dane-makro/ d/2016-04-25/c/36 … #bezrobocie";;;#Szwecja #bezrobocie;"724501212050108416";https://twitter.com/Macronextcom/status/724501212050108416
ManpowerGroupPL;2016-04-21 16:09;0;0;"Stopa bezrobocia spadła we wszystkich województwach Polski. #bezrobocie #rynekpracy";;;#bezrobocie #rynekpracy;"723151774866006017";https://twitter.com/ManpowerGroupPL/status/723151774866006017
ManpowerGroupPL;2016-04-21 16:08;0;0;"Jak podaje Ministerstwo Rodziny, Pracy i Polityki Społecznej, obecna stopa bezrobocia wynosi 10%. http:// goo.gl/RbMZ5u #bezrobocie";;;#bezrobocie;"723151352168226816";https://twitter.com/ManpowerGroupPL/status/723151352168226816
ManpowerGroupPL;2016-04-21 15:55;0;0;"Bezrobocie spadło w całej Polsce i znajduje się obecnie na najniższym poziomie od 25 lat! #bezrobocie";;;#bezrobocie;"723148214304559106";https://twitter.com/ManpowerGroupPL/status/723148214304559106
zielonalinia;2016-04-20 15:40;0;0;"Mimo bezrobocia wciąż brakuje rąk do pracy http:// bit.ly/1NlcCO7 #Bezrobocie #Praca #rynekpracy";;;#Bezrobocie #Praca #rynekpracy;"722782029218099200";https://twitter.com/zielonalinia/status/722782029218099200
zielonalinia;2016-04-20 15:32;0;0;"Bezrobocie na koniec roku będzie jednocyfrowe http:// bit.ly/1StfozT #Bezrobocie #Praca #RynekPracy";;;#Bezrobocie #Praca #RynekPracy;"722780102250143746";https://twitter.com/zielonalinia/status/722780102250143746
Newseria_Inwest;2016-04-20 15:00;0;0;"#Bezrobocie na koniec roku będzie jednocyfrowe http://www. inwestor.newseria.pl/newsy/bezroboc ie_na_koniec_roku,p549593293 … #gospodarka #prognozy #praca #rynek #PKB";;;#Bezrobocie #gospodarka #prognozy #praca #rynek #PKB;"722772029989130241";https://twitter.com/Newseria_Inwest/status/722772029989130241
Newseria_Biznes;2016-04-20 13:40;0;0;"#Bezrobocie na koniec roku będzie jednocyfrowe http://www. inwestor.newseria.pl/newsy/bezroboc ie_na_koniec_roku,p549593293 … #gospodarka #prognozy #praca #rynek #PKB";;;#Bezrobocie #gospodarka #prognozy #praca #rynek #PKB;"722751711044100097";https://twitter.com/Newseria_Biznes/status/722751711044100097
Macronextcom;2016-04-20 10:30;1;0;"#UK : w XII 2015 - II 2016 stopa bezrobocia 5,1% (prognoza: 5,1%; poprzednio: 5,1%) http://www. macronext.com/pl/dane-makro/ d/2016-04-20/c/11 … #bezrobocie";;;#UK #bezrobocie;"722703910755049476";https://twitter.com/Macronextcom/status/722703910755049476
pulshr_pl;2016-04-20 09:06;2;1;"#Bezrobocie na koniec roku będzie jednocyfrowe @MRPiPS_RP http://www. pulshr.pl/rekrutacja/bez robocie-na-koniec-roku-bedzie-jednocyfrowe,33701.html …";;@MRPiPS_RP;#Bezrobocie;"722682921329549312";https://twitter.com/pulshr_pl/status/722682921329549312
EHoldynska;2016-04-18 19:41;0;5;"A. Bartoszewicz @SGHWarsaw trafnie o przyczynach poprawiającej się sytuacji na rynku pracy #bezrobocie https://www. youtube.com/watch?v=ps89ev ZzuS4 … @RepublikaTV";;@SGHWarsaw @RepublikaTV;#bezrobocie;"722117822223147008";https://twitter.com/EHoldynska/status/722117822223147008
